name,title,company,bio,talk_title,country,photo_url,twitter,linkedin
Stefania Barbaglio,Founder,Cassiopeia and FinancialFox,,,,,,
Stephan Lutz,CEO,BitMEX,,,,,,
Steven Reiss,"Curator, Writer & Art Advisor",Reiss Art & Culture,,,,,,
Steven Wisbrun,Founder,M1 Capital,,,,,,
Susie Violet Ward,CEO & Co-Founder,Bitcoin Policy UK,,,,,,
Temo Bezhiashvili,Core Product Manager,Maicrotrader,,,,,,
Thijs van Boven,"Head Trader, Digital Assets",VanEck,,,,,,
Thunder,Head of Talent,Strike,,,,,,
Tom van Lamoen,Party Leader,Libertaire Partij,,,,,,
Tracy Hoyos-Lopez,"Chief of Staff, Strategic Initiatives",Kraken,,,,,,
Tycho Onnasch,Head of Bitcoin Strategy,Treasury,,,,,,
Tyler Evans,CIO,KindlyMD ($NAKA),,,,,,
Veronika Kuett,Researcher,Ark Labs,,,,,,
Vijay Selvam,Author,Principles of Bitcoin,,,,,,
Vik Sharma,Founder/CEO,Cake Wallet,,,,,,
Vince van Hoesel,Co Founder & Co President,Students Blockchain Association Netherlands (SBAN),,,,,,
Vladislav Dramaliev,Founder,BitHope.org,,,,,,
WantClue,Lead software developer of Bitaxe,WantClue Technologies,,,,,,
Willem Middelkoop,CEO/Founder,Commodity Discovery Fund,,,,,,
Win Ko Ko Aung,Global Bitcoin Adoption,Human Rights Foundation (HRF),,,,,,
Wyatt O'Rourke,Founder,Basilic Financial,,,,,,
