name,title,company,bio,talk_title,photo_url,twitter,linkedin
Marcos Nunes,CEO,Tangem Pay,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68ef888fb2c010c53aba054b_MarcoNunes_HEAD.jpg,,
Anthony Werner,Ambassador,Shiro Neko,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68e9dd82fd2748a08f26cc51_AnthonyWerner_HEAD%201.png,,
Everton Fraga,Amazon Web Services,Sr. Web3 Specialist,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/6852f6a208d9be4c79e0dffe_EvertonFraga_HEAD.jpg,,
Amanda Wick,"Founder & CEO, Association for Women in Cryptocurrency","Principle, Incite Consulting",,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/6852eeb89e37df32df678ab6_67e16f5821cf0608674de6f5_AmandaWick_HEAD%25201.png,,
Shane Cook,Founder,Pulse Digital Marketing,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68812d10ebc0cf92e8ffaed1_ShaneCook_HEAD%201.png,,
Sidney Powell,Co-Founder & CEO,Maple Finance,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/689deb78cd80460ba89c81b3_sidneypowell_head_720.jpg,,
Clare Adelgren,Global Blockchain Head of Sales and Operations,EY,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/687923ca4a0604894f432762_ClareAdelgren_HEAD.jpg,,
Bryan Ferre,"Vice Chair, Parler","Co-Founder, Optio Blockchain",,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68c2b97d00b67765f19e2481_BryanFerre_HEAD.jpg,,
Keith A. Carswell,Director,City of Maimi's Department of Economic Innovation & Development,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68e417af8ac9e45bd710205f_keithacarswell_head_720%201.png,,
Ashton Addison,CEO,Crypto Coin Show,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/689f22a539966042fa348f7c_AshtonAddison_HEAD%201.png,,
Chairman Elijah John Bowdre,"Miami-Dade County CryptoCurrency Task Force, Executive Director",Miami-Dade Digital Commission,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68c84ef96859f9f8e2ec9b81_ChairmanBowdre_HEAD.jpg,,
Tracy Leparulo,Co-Founder,Blockchain Futurist Conference,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/67d6e1a9c74039c2dad395e2_TracyLeparulo_HEAD.jpg,,
Zach Humphries,President,ZH Media,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/6852eeb874c75bb9af9303c5_67e40a70069ef680d7d7edf6_ZachHumphries_HEAD.jpeg,,
Jonathan Morgan,Lead Crypto Analyst,Stocktwits,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/6904d0c11f2af175b2b1d211_JonathanMorgan_HEAD.png,,
