name,org,track,social
0XPENRYN,WORLD FOUNDATION,Zero Tech & TEE,https://x.com/0xPenryn
SLOBODAN LUKOVIC,PONOS TECHNOLOGY,Zero Tech & TEE,https://www.linkedin.com/in/slukovic/
KELLY ROEGIES,EUROPEAN ALUMINIUM,Product & Marketers,https://www.linkedin.com/in/kellyroegies/
REKA MEDVECZ,BOUNDLESS,Product & Marketers,https://x.com/reka_eth
DANIEL VON FANGE,MONAD FOUNDATION,Core Protocol,http://x.com/danielvf/
STEFAN KOBRC,ROCKLOGIC GMBH,Research,https://x.com/Stefa2kEth
SARAH HICKS,OLYMPIX,Security,https://www.linkedin.com/in/sarahjanehicks/
ALEJANDRO RANCHAL-PEDROSA,SEI LABS,Research,https://x.com/alranpe
JONJON CLARK,ENVIO,Research,https://x.com/jonjonclark
JARED ARMS,エーアイ.コム,AI Agents and Automation,https://x.com/aidotcomjp
SAM MACPHERSON,SPARK,DeFi,https://www.linkedin.com/in/sam-macpherson-/
ZUZ,LEADERSHIP COACHING | ZUZA ZUBER,Product & Marketers,https://www.linkedin.com/in/zuza-zuber-a627b69a/
CHARLES D'HAUSSY,DYDX,I don't know where I fit,https://x.com/charlesdhaussy
HARRY KALODNER,OFFCHAIN LABS,Layer 2s,https://www.linkedin.com/in/hkalodner
JEAN-MARC STENGER,SOCIETE GENERALE-FORGE,I don't know where I fit,https://www.linkedin.com/company/sgforge/
LADISLAUS VON DANIELS,ETHEREUM FOUNDATION,Core Protocol,https://x.com/ladislaus0x
CHRISTINE MOY,APOLLO,RWA Tokenisation,https://www.linkedin.com/in/christine-moy/
OTTO JACOBSSON,YAP GLOBAL,I don't know where I fit,https://www.linkedin.com/in/ottojacobsson/
SUHYEON LEE,TOKAMAK NETWORK / HASHED OPEN RESEARCH,Layer 2s,https://www.linkedin.com/in/lee-su-hyeon/
NAHIM TERRAZAS,OPENZEPPELIN,Layer 2s,https://x.com/nahimdhaney
JOHNNATAN MESSIAS,MAX PLANCK INSTITUTE FOR SOFTWARE SYSTEMS (MPI-SWS),Research,https://www.linkedin.com/in/johnnatan-messias/
ALICE,SPACE ID,Product & Marketers,https://www.linkedin.com/in/alice-shikova-36a708194/
YUCHEN SONG,WBTC,DeFi,https://x.com/NadiaNaise
OISÍN KYNE,OBOL,Core Protocol,https://www.linkedin.com/in/oisin-kyne/
SEJAL,PROTOCOL LABS FILECOIN IMPACT FUND (PLFIF),Research,https://x.com/sejal_rekhan
STERLING BARNETT,CIRCLE,Stablecoins & Global Payments,https://www.linkedin.com/in/sterlingbarnett/
NADIA IVANOVA-BANDA,AMBIRE,Product & Marketers,https://x.com/nadia_iv
PAMINA GEORGIEV,CERTORA,Security,https://x.com/vollmond_sterne
TOMER GANOR,CERTOTA,Security,https://x.com/tomer_ganor
ERICK ZHANG,NOMAD CAPITAL; BUIDLPAD,Product & Marketers,https://www.linkedin.com/in/erick-z-98634b21/
ANTHURINE,ETHSTORAGE,Cypherpunk & Privacy,https://x.com/anthurine
KOLBY MOROZ LIEBL,OFFCHAIN LABS,Core Protocol,https://www.linkedin.com/in/kolbyml/
JUSTIN AHN,QUIDLI,Product & Marketers,https://twitter.com/ahn_going
SHRAVAN SRINIVASAN,LAGRANGE LABS,Zero Tech & TEE,https://x.com/s_shravan
ELLIE DAVIDSON,NONE,Research,https://x.com/ellierdavidson
HAO WANG,CRYSTALITY,Built on Ethereum,https://x.com/PREDALang
DANA CONDREA,ZKWHISTLEBLOWER,Cypherpunk & Privacy,https://www.linkedin.com/in/0xxdana/
CHASE MANNING,BOUNCE TECH,Security,https://x.com/chase_manning_
TOUFIC BATRICE,SPACECOMPUTER,Applied cryptography,https://www.linkedin.com/in/toufic-batrice
HAN,ETHEREUM FOUNDATION,Core Protocol,https://x.com/ngweihan_eth
HILDOBBY,DRAGONFLY,I don't know where I fit,https://x.com/hildobby
MARTIN HANSEN,ETHEREUM FOUNDATION,Core Protocol,https://x.com/martinbreiten
JOHANNES KERN,FRANKENCOIN ASSOCIATION,Stablecoins & Global Payments,https://x.com/jonk93
ELO,CR3DENTIALS,Cypherpunk & Privacy,https://www.linkedin.com/in/elo-mukoro/
ALICEANDBOB,CERTORA,Security,https://x.com/AliceAndB0b
0XALEX,KLEROS,Built on Ethereum,https://x.com/alex__eth
ZK_EVM,LINEA,Applied cryptography,https://x.com/zk_evm
ANDRII BONDAR,MATTER LABS (ZKSYNC),Cypherpunk & Privacy,https://www.linkedin.com/in/andriibondards/
EUGENE JOO,WASDER,Applied cryptography,https://x.com/fhethereum
DEREK SORENSEN,ETHEREUM FOUNDATION,Research,https://x.com/dhsorens
MURAT ÖGAT,AKTIONARIAT,Built on Ethereum,https://www.linkedin.com/in/muratogat/
MAX LOMU,ARBITRUM,Built on Ethereum,https://x.com/maxlomu
LEO FAN,CYSIC,Research,https://www.linkedin.com/in/xiong-leo-fan-76292249/
ALISIA PAINTER,BOTANIX,DeFi,https://www.linkedin.com/in/alisiapainter/
DMH,FLUID,Stablecoins & Global Payments,https://x.com/DeFi_Made_Here/photo
CONOR,NETHERMIND,AI Agents and Automation,https://x.com/ConorMcMenamin9
GAUTHIER VILA,ZYFAI,AI Agents and Automation,https://x.com/goatv_bk
TOM TROWBRIDGE,FLUENCE,I don't know where I fit,https://www.linkedin.com/in/tom-trowbridge-12623/
GRACE RACHMANY,DAO LEADERSHIP,Block Fighters,http://www.linkedin.com/in/rebeccarachmany
STEFANO DE ANGELIS,NETHERMIND,Research,https://x.com/_deanstef
SAJIDA,OPTIMUM,Research,https://www.linkedin.com/in/sajidazouarhi/
ERNESTO GARCÍA,OPENZEPPELIN,Cypherpunk & Privacy,https://x.com/ernestognw
ANNE-LORINNE MOGNETTI,MME LEGAL,Regulation & Compliance,https://www.linkedin.com/in/anne-lorinne-mognetti/?originalSubdomain=ch
STEFFEN KUX,CORPUS.CORE GMBH / COLIBRI.STATELESS,Core Protocol,https://www.linkedin.com/in/steffen-kux/
LOUIE O'CONNOR,ETHEREUM FOUNDATION,Product & Marketers,https://x.com/lou3ee
AMXX,OPENZEPPELIN,Core Protocol,https://x.com/amxx
FABRIZIO ROMANO GENOVESE,NEVERLOCAL,Zero Tech & TEE,https://x.com/fabgenovese
