id,name,slug,tier,edition,tier_raw,description,website,logo_url,logo_alt,createdAt,updatedAt,publishedAt
179,Dual,sponsor-82,Pearl,EthCC[9],Pearl,DUAL is an enterprise-grade Layer 2 and protocol for programmable asset tokenization. Used by Fortune 500 for real-world and agentic applications.,https://www.dual.org/,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/dual_logo_318d0270d9.png,,2026-03-13T11:32:35.251Z,2026-03-13T14:56:23.089Z,2026-03-13T11:34:03.639Z
180,Linea,sponsor-83,Pearl,EthCC[9],Pearl,Linea is the Layer 2 network built from first principles to strengthen Ethereum and the entire ETH economy.,https://linea.build/,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/Linea_Logo_8ab55f4232.png,,2026-03-13T14:54:23.633Z,2026-03-13T14:54:34.615Z,2026-03-13T14:54:34.612Z
110,Tangem,sponsor-16,Ruby,EthCC[9],Ruby,"Tangem is building the future of self-custody. We create radically simple and secure ways for anyone to own, access, and use their digital assets. ",https://tangem.com/en/,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/logo_black_RGB_34eb9cba23.png,,2025-11-14T15:52:47.289Z,2025-11-14T15:52:49.100Z,2025-11-14T15:52:49.095Z
114,Pharos,sponsor-20,Ruby,EthCC[9],Ruby,"Pharos is the inclusive financial layer 1 for RealFi, where real value and institutional grade assets are accessible to all. ",https://www.pharos.xyz/,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/Pharos_22c7ff68cb.png,,2025-11-18T20:14:42.718Z,2025-11-18T20:14:43.483Z,2025-11-18T20:14:43.480Z
119,Cake Wallet,sponsor-25,Ruby,EthCC[9],Ruby,"Since 2018, we've been providing over 1M people like you a secure, seamless, and reliable way to store, send, and exchange crypto with confidence.",https://cakewallet.com/?utm_source=ethcc&utm_medium=web&utm_campaign=sponsor,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/horizontal_fondant_cc87604148.svg,,2026-01-12T14:56:56.046Z,2026-01-12T14:56:57.026Z,2026-01-12T14:56:57.023Z
120,Trezor,sponsor-26,Ruby,EthCC[9],Ruby,Creators of the world's first hardware wallet. Setting the standard in crypto security since 2013.,https://trezor.io/,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/trezor_main_logo_black_rgb_e617ec095e.png,,2026-01-13T15:19:19.260Z,2026-01-16T12:34:59.152Z,2026-01-13T15:19:20.779Z
123,World,sponsor-29,Ruby,EthCC[9],Ruby,"Universal proof of human, finance and connection for every human.",https://world.org/,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/World_Logo_Black_RGB_bf3f17d428.png,,2026-01-26T12:47:31.114Z,2026-01-26T12:47:32.451Z,2026-01-26T12:47:32.447Z
137,Lido,sponsor-41,Ruby,EthCC[9],Ruby,Staking made easy.,https://lido.fi/,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/LIDO_5ec01ce980.png,,2026-02-10T16:12:24.566Z,2026-02-10T16:14:51.651Z,2026-02-10T16:14:51.647Z
138,Latitude SH,sponsor-42,Ruby,EthCC[9],Ruby,"Latitude.sh, from Megaport, is the most Web3-friendly compute platform available today, providing an unmatched experience that puts developers first.",https://www.latitude.sh/,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/01_Red_Black_from_Megaport_2x_f8c19a5d17.png,,2026-02-11T22:10:17.851Z,2026-02-11T22:10:19.095Z,2026-02-11T22:10:19.092Z
139,Canton,sponsor-43,Ruby,EthCC[9],Ruby,,https://www.canton.network/,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/Canton_Horizontal_logo_Black_logo_Yellow_C_Black_diamond_bc14e1f80d.svg,,2026-02-16T19:17:40.287Z,2026-02-17T10:06:49.372Z,2026-02-16T19:17:41.173Z
140,Forge,sponsor-44,Ruby,EthCC[9],Ruby,"SG‑FORGE issues USD & EUR Coinvertible MiCA‑compliant stablecoins, provides regulated crypto & investment services & operates on a secure digital asset platform.",https://www.sgforge.com/,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/FORGE_103_a846f586ee.svg,,2026-02-17T12:22:12.242Z,2026-02-19T16:35:05.439Z,2026-02-17T12:22:13.405Z
148,Aztec,sponsor-52,Ruby,EthCC[9],Ruby,"Aztec is the leading privacy-first Layer 2 on Ethereum.
It is a fully decentralized, privacy-preserving blockchain that lets you build apps where privacy isn’t an afterthought, it’s the default.",https://aztec.network/,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/Aztec_Wordmark_Dark_44b72bf49a.svg,,2026-02-24T18:21:32.663Z,2026-02-24T18:21:33.552Z,2026-02-24T18:21:33.547Z
149,TRON,sponsor-53,Ruby,EthCC[9],Ruby,Agentic AI Payment Infrastructure.,https://tron.network/,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/TRON_LOGO_Horizontal_Version_1425cd5ff7.png,,2026-02-26T19:51:13.486Z,2026-03-03T19:25:38.298Z,2026-02-26T19:51:14.786Z
160,AAVE,sponsor-63,Ruby,EthCC[9],Ruby,Powering all global finance.,https://aave.com/,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/Logo_purple_67b8ac3fec.png,,2026-03-03T17:47:58.425Z,2026-03-03T17:48:05.423Z,2026-03-03T17:48:05.420Z
159,Gnosis,sponsor-54,Ruby,EthCC[9],Ruby,"Gnosis is a full-stack ecosystem bridging decentralised technology with everyday finance. Gnosis’ mission is to empower every person with greater financial agency and access, while supporting the creation of an open and collectively-owned financial system that benefits all.",https://www.gnosis.io/,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/Gnosis_ac4c4f3ea8.png,,2026-03-02T12:08:12.561Z,2026-03-09T12:37:42.560Z,2026-03-02T12:08:14.029Z
184,Ledger,sponsor-87,Ruby,EthCC[9],Ruby,,https://www.ledger.com/,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/LEDGER_WORDMARK_BLACK_CMYK_14353a7728.png,,2026-03-14T16:49:57.819Z,2026-03-14T16:49:58.918Z,2026-03-14T16:49:58.913Z
106,Defisaver,sponsor-13,Sapphire,EthCC[9],Sapphire,DeFi Saver is an all-in-one management tool for decentralized finance that integrates multiple leading lending protocols into a single dashboard while providing advanced features that enhance their functionality. ,https://defisaver.com/,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/defi_saver_dark_text_2x_4_5cd72909fb.png,,2025-10-31T17:30:40.140Z,2025-10-31T17:30:41.117Z,2025-10-31T17:30:41.113Z
108,Merkl,sponsor-15,Sapphire,EthCC[9],Sapphire,Merkl is the leading incentive and points management platform. ,https://merkl.xyz/,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/merkl_logo_light_theme_1e242b778c.png,,2025-10-31T17:48:02.917Z,2025-10-31T17:48:03.796Z,2025-10-31T17:48:03.793Z
111,Zircuit,sponsor-17,Sapphire,EthCC[9],Sapphire,The Safe Haven for Onchain Finance,https://www.zircuit.com/,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/Zircuit_Logo_Gold_36f34c8d61.png,,2025-11-14T15:56:22.769Z,2026-02-19T19:18:46.102Z,2025-11-14T15:56:24.756Z
