record_type,name,title,company,title_secondary,company_secondary,is_virtual_speaker,twitter,linkedin,website,profile_url
Speaker,Nick Ducoff,Head of Institutional Growth,Solana Foundation,,,No,nickducoff,https://www.linkedin.com/in/nickducoff/,nick.vc,https://consensus.coindesk.com/agenda/speaker/-nick-ducoff
Speaker,Frank La Salla,"President, CEO & Director",The Depository Trust & Clearing Corporation (DTCC),,,No,,,,https://consensus.coindesk.com/agenda/speaker/-frank-la-salla
Speaker,Mert Mumtaz,CEO,Helius,,,No,,,,https://consensus.coindesk.com/agenda/speaker/-mert-mumtaz
Speaker,Kristin Smith,President,Solana Policy Institute,,,No,https://x.com/KristinSmith,https://www.linkedin.com/in/smithk1/,solanapolicyinstitute.org,https://consensus.coindesk.com/agenda/speaker/-kristin-smith
Speaker,Michaël van de Poppe,Founder & CIO,MN Fund & MN Capital,,,No,cryptomichnl,https://www.linkedin.com/in/michaelvandepoppe/,www.michaelvandepoppe.com,https://consensus.coindesk.com/agenda/speaker/-michal-van-de-poppe
Speaker,Deborah Querub,"Head of Digital Assets, Citi Wealth",Citigroup,,,No,,https://www.linkedin.com/in/deborahquerub/,,https://consensus.coindesk.com/agenda/speaker/-deborah-querub
Speaker,Ian  De Bode,President,Ondo,,,No,https://x.com/OndoFinance,https://www.linkedin.com/company/ondo-finance/,https://ondo.finance/,https://consensus.coindesk.com/agenda/speaker/-ian-de-bode
Speaker,Sandy Kaul,Head of Innovation,Franklin Templeton,,,No,FTDA_US,https://www.linkedin.com/in/sandy-kaul,franklintempleton.com,https://consensus.coindesk.com/agenda/speaker/-sandy-kaul
Speaker,Austin Federa,Co-Founder,DoubleZero,,,No,,,https://doublezero.xyz/,https://consensus.coindesk.com/agenda/speaker/-austin-federa
Speaker,Rebecca  Rettig,COO / CLO,Jito Labs,,,No,https://x.com/RebeccaRettig1,https://www.linkedin.com/in/rebecca-rettig-8b90a284/,https://www.jito.wtf/,https://consensus.coindesk.com/agenda/speaker/-rebecca-rettig
Speaker,Larry Wade,Global Head of Crypto Compliance and Regulatory Relations,PayPal,,,No,,https://www.linkedin.com/in/larryswadejr/,,https://consensus.coindesk.com/agenda/speaker/-larry-wade
Speaker,Chris Land,Staff Director,U.S. Senate Banking Subcommittee on Digital Assets,,,No,@senlummis,,lummis.senate.gov,https://consensus.coindesk.com/agenda/speaker/-chris-land
Speaker,Lucas  Bruder,Co-Founder & CEO,Jito Labs,,,No,,https://www.linkedin.com/in/lucasbruder/,https://www.jito.wtf/,https://consensus.coindesk.com/agenda/speaker/-lucas-bruder
Speaker,Stefano Bury,Head of the US,Virtuals Protocol,,,No,0xbury,https://www.linkedin.com/in/stefanobury/,virtuals.io,https://consensus.coindesk.com/agenda/speaker/-stefano-bury
Speaker,Steven Meiner,Mayor,City of Miami Beach,,,No,https://x.com/StevenMeiner,https://www.linkedin.com/in/stevenmeiner/,https://www.miamibeachfl.gov/staff/mayor-steven-meiner/,https://consensus.coindesk.com/agenda/speaker/-mayor-steven-meiner
Speaker,Michael Lau,Chairman,Consensus,,,No,mikelaujr,https://www.linkedin.com/in/michaeltlau,,https://consensus.coindesk.com/agenda/speaker/-michael-lau
Speaker,Rodrigo  Coelho,CEO,Edge & Node,,,No,rodventures,https://www.linkedin.com/in/rodrigoco/,,https://consensus.coindesk.com/agenda/speaker/-rodrigo-coelho
Speaker,Serafin  Lion Engel,Founder & CEO,Yield.xyz,,,No,,,https://yield.xyz/,https://consensus.coindesk.com/agenda/speaker/-serafin-lion-e
Speaker,Gregory  Lisa,Senior Counsel,Hogan Lovells,,,No,,,,https://consensus.coindesk.com/agenda/speaker/-gregory-lisa
Speaker,Thomas  Perfumo,Chief Economist,Kraken,,,No,ThomasPerfumo,,,https://consensus.coindesk.com/agenda/speaker/-thomas-perfumo
Speaker,"Maximillian ""M""  Schwartz",CEO,Anvil Research Labs,,,No,,,anvil.xyz,https://consensus.coindesk.com/agenda/speaker/-max
Speaker,Adeniyi Abiodun,Co-Founder & CPO,Mysten Labs,,,No,,,,https://consensus.coindesk.com/agenda/speaker/-adeniyi-abiodun
Speaker,Bhushit Agarwal,Senior Staff Software Engineer,Circle,,,No,,,,https://consensus.coindesk.com/agenda/speaker/-bhushit-agarwal
Speaker,Janis Aguilar,Head of Acceleration Investments,CV VC,,,No,,,,https://consensus.coindesk.com/agenda/speaker/-janis-aguilar
Speaker,Hussein Ahmed,Founder and CEO,LIMITED,,,No,https://x.com/husseinthoughts,https://www.linkedin.com/in/husseinahmed/,https://limitedapp.com/,https://consensus.coindesk.com/agenda/speaker/-hussein-ahmed
Speaker,James Aitchison,Founder & CIO,Caerus Global Management,,,No,,https://www.linkedin.com/in/aitchisonj/,caerusgm.com,https://consensus.coindesk.com/agenda/speaker/-james-aitchison
Speaker,Boris Alergant,Head of GTM,Babylon Labs,,,No,https://x.com/Borissimo,https://www.linkedin.com/in/borisalergant/,,https://consensus.coindesk.com/agenda/speaker/-boris-alergant
Speaker,Stephen Alpher,"Managing Editor, Markets",CoinDesk,,,No,SteveAlpher,https://www.linkedin.com/in/stephen-alpher-820a1327,Coindesk.com,https://consensus.coindesk.com/agenda/speaker/-stephen-alpher
Speaker,Mitchell Amador,CEO,Immunefi,,,No,@MitchellAmador,,https://mitchellamador.com,https://consensus.coindesk.com/agenda/speaker/-mitchell-amado
Speaker,Louis Amira,CEO,Circuit & Chisel,,,No,louisamira,https://www.linkedin.com/in/louisamira/,,https://consensus.coindesk.com/agenda/speaker/-louis-amira
Speaker,Henri Arslanian,Co-Founder,Nine Blocks Capital Management,,,No,HenriArslanian,https://ae.linkedin.com/in/henriarslanian,https://www.henriarslanian.com,https://consensus.coindesk.com/agenda/speaker/-henri-arslanian
Speaker,Aoyon Ashraf,Global Head of News,CoinDesk,,,No,Aoyon_A,Aoyon Ashraf,coindesk.com,https://consensus.coindesk.com/agenda/speaker/-aoyon-ashraf
Speaker,Yoni Assia,Co-Founder & CEO,eToro,,,No,yoniassia,https://www.linkedin.com/in/yoniassia/,https://etoro.com/en-us,https://consensus.coindesk.com/agenda/speaker/-yoni-assia
Speaker,Jason Atkins,Chief Commercial Officer,Auros,,,No,0xjatkins,https://www.linkedin.com/in/jason-atkins-12350376/,https://www.auros.global/,https://consensus.coindesk.com/agenda/speaker/-jason-atkins
Speaker,Evan Auyang,Group President,Animoca Brands,,,No,,https://www.linkedin.com/in/evanauyang,,https://consensus.coindesk.com/agenda/speaker/-evan-auyang
Speaker,Lauren Baca,"Global VP Marketing, Xsolla Advertising & Rewards",Xsolla,,,No,,https://www.linkedin.com/in/laurenfrisciabaca/,,https://consensus.coindesk.com/agenda/speaker/-xsolla-speaker-3
Speaker,Dr. Leemon Baird,Co-Founder,Hedera,,,No,leemonbaird,https://www.linkedin.com/in/leemon-baird/,hedera.com,https://consensus.coindesk.com/agenda/speaker/-leemon-baird
Speaker,Rajeev Bamra,"Global Head of Strategy, Digital Economy",Moody's Ratings,,,No,,https://www.linkedin.com/in/rajeevbamra,,https://consensus.coindesk.com/agenda/speaker/-rajeev-bamra
