Conference,Name,Title,Company / Organization,Presenting Virtually,Photo URL,Source Page
2026 Toronto,Koleya Karringten,Executive Director,Canadian Bitcoin Consortium,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69d90b1a34fa621e2e76dcbf_KoleyaKarringten_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,"Maximillian ""M"" Schwartz",CEO,Anvil Research Labs,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69eb383ba7fad05bffce3897_MaximillianMSchwartz_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,Joseph Iuso,Co-Founder,"CAMLO & Head of Global Regulatory Affairs, KYC2020",,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69d909248400d3086ded7b6e_JosephIuso_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,Rob Goldstein,Senior Operating Advisor,"Strategic Partnerships and Growth, Travls.io",,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69d90da7493329833761fece_RobGoldstein_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,Morva Rohani,Executive Director,Canadian Web3 Council,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69d90ca4dc01cf6e3437590d_MorvaRohani_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,Ty Henwood,Founder & CEO,Intrface,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69f60853fd28a83f381b05b7_TyHenwood_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,Amanda Wick,Head of America,VerifyVASP,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69d90406013a7fe26ac130fe_AmandaWick_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,Jason Brett,Senior Contributor at Forbes,"Founder, Ben Franklin Digital Reserve",,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69d909154045d8a900ca739f_Jason%20Brett_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,Michael Terpin,Founder & CEO,Transform Ventures,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69d90c8a0180323a5c0c5271_MichaelTerpin_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,Leah McCarthy,Content Creator,Doginal Dogs; CSN,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69d90bb273130d43008a1495_LeahMcCarthy_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,Christopher Chen,Head,Invest Hong Kong Canada,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69db04aa638fdc45360eefa1_ChristopherChen_SpeakerWebsite2026%20(1).png,https://futuristconference.com/speakers
2026 Toronto,Adilah Holivay,CEO,Association for Women in Cryptocurrency,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69d8fe8dc4d18eb1153e7893_AdilahHolivay_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,Hamed Faqirzai,VP of Global Development,Luna PR,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69d908bf38a7e27d045b81d9_HamedFaqirzai_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,Sam Amsterdam,Founder,Amsterdam Group Public Relations,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69e8c2acf1aa5584d768ab57_SamAmsterdam_SpeakerWebsite2026.webp,https://futuristconference.com/speakers
2026 Toronto,Edward Johnson,Chief Product Officer,Autheo,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/6a0741075706d13497227032_EdwardJohnson_SpeakerWebsite2026.webp,https://futuristconference.com/speakers
2026 Toronto,Ganna Vitko,President of Canada Chapter,Association for Women in Crypto,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69de33a8fb20449c14dc78f5_GannaVikto_SpeakerWebsite2026.webp,https://futuristconference.com/speakers
2026 Toronto,Peter von Irle,Co-Founder & Managing Partner,Sullivan Hart LLP,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69d90d360b9582b83d5557bd_PetervonIrle_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,Kyle Karasz,Founder & Developer,Blast Wheels,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69eb37d68cd0a07e808dfa71_KyleKarasz_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,"Regan McGrath, CPA, CA",CEO,Metrics CPA,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69d90d53e91bf51e72bbdc2a_ReganMcGrath_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,Josh Weiss,Global Head of Sales,Utila,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69e23c83bb115cc109395111_JoshWeiss_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,Mackenzie Hobbs,CEO,Blast Wheels,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69eb3801a55ae70830d88e42_MackenzieHobbs_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,Lalla Asmaa Alaoui,"CEO, HelloAgentic.ai","Founder, Agentic Day",,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69d90b26c8140513e8007a3a_LallaAsmaaAlaoui_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,Jay Rogers,CEO,Infineo,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69e8c2dd7c5137e058c7da07_JayRogers_SpeakerWebsite2026.webp,https://futuristconference.com/speakers
2026 Toronto,Mitchell DiRaimondo,Co-Founder,SteelWave Digital,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69e8c3157c5137e058c7edd2_MitchellDiRaimondo_SpeakerWebsite2026.webp,https://futuristconference.com/speakers
2026 Toronto,Janelle Chalouhi,Founder & CEO,Venusventures Inc.,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69d908d9acc21d9244918b9b_JanelleChalouhi_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,Luther Maday,"Co-Founder & CEO, Stablecoin Partners",ex. Algorand Foundation,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69d90bfe7cdb473fae95244f_LutherMaday_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,Brian J. Esposito,CEO,DiamondLake,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69e8c3542eed5844eb57f4c0_BrianJEsposito_SpeakerWebsite2026.webp,https://futuristconference.com/speakers
2026 Toronto,"Nataliya Hearn, Ph.D.","Director, CryptoChicks","Co-Founder, Youth Program CryptoChicks",,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69d90cf2aca2ca32c62ec8a1_NataliyaHearn%2CPh.D._SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,Web,Director of Operations,Doginal Dogs; CSN,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69d90f0f61c9e53ddb555032_Web_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,Emma Todd,CEO,MMH Technology Group,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69d907d73e60e6217033638f_EmmaTodd_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,Mohammed Ali Yusuf,CEO & Co-Founder,Fuze Finance,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69fbbcf4101ad93ddba2c726_MohammedAliYusuf_SpeakerWebsite2026.webp,https://futuristconference.com/speakers
2026 Toronto,Cooper Squirrell,Founder,UrVote,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69fbbce45aad97580b23d93a_CooperSquirrell_SpeakerWebsite2026.webp,https://futuristconference.com/speakers
2026 Toronto,Dina Mainville,Founder,Orqa,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69d905a3a74e5bb44b429c80_DinaMainville_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,Ashton Addison,Founder & CEO,Crypto Coin Show,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69d90071c8245ff0bf570ab5_AshtonAddison_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,Kyle Guthro,Communication &,Business Strategist; GUTHRO Consulting LLC,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69fbbcd411b57a176fa1b761_KyleGuthro_SpeakerWebsite2026.webp,https://futuristconference.com/speakers
2026 Toronto,Debbie Deer,CEO & Founder,Orion Digital Innovations and Creations Inc.,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69e23cb3978d7f92d4de3345_DebbieDeer_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,Justin Custardo,Founder & Host,W3BC Media,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69dd20347e1fb50103975f6f_JustinCustardo_SpeakerWebsite2026%20(1).png,https://futuristconference.com/speakers
2026 Toronto,Annelise Osborne,Author,From Hoodies to Suits,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/6a05c7295ee17972c53589a6_AnneliseOsborne_SpeakerWebsite2026.png,https://futuristconference.com/speakers
