Record Type,Category/Tier,Name/Company,Title,Organization
Speaker,Industry Leader,Amy Oldenburg,Head of Digital Asset Strategy,Morgan Stanley
Speaker,Industry Leader,Teddy Fusaro,President,Bitwise Management
Speaker,Industry Leader,Sebastian Bea,CIO,ReserveOne
Speaker,Industry Leader,Perianne Boring,Founder and Chair,The Digital Chamber
Speaker,Industry Leader,Cody Carbone,CEO,The Digital Chamber
Speaker,Industry Leader,Raja Chakravorti,Chief Business Officer,Stellar Development Foundation
Speaker,Industry Leader,Scarlett Sieber,Chief Strategy and Growth Officer,Money20/20
Speaker,Industry Leader,Virginia Alvarez,Head of Content Americas,Money20/20
Speaker,Industry Leader,Nilmini Rubin,CPO,Hedera
Speaker,Industry Leader,Rachel Anderika,Head of Global Operations / Bank COO,Anchorage
Speaker,Industry Leader,Wasim Ahmad,Co-Founder,Vault12
Speaker,Industry Leader,Hinza Asif,President,Asia Web3 Alliance Japan
Speaker,Industry Leader,Anthony Apollo,Executive Director,Wyoming Stable Token Commission
Speaker,Industry Leader,Chen Arad,Co-Founder & CXO,Solidus Labs
Speaker,Industry Leader,Frank Chaparro,Head of Content & Special Projects,GSR
Speaker,Industry Leader,James Cheng,CFO,Canaan
Speaker,Industry Leader,Jayson Browder,"SVP, Government Affairs",MARA
Speaker,Industry Leader,Sahana Dharmapuri,Vice President,Our Secure Future
Speaker,Industry Leader,Youssef El Maddarsi,Co-founder and Chief Business Officer,Naoris
Speaker,Industry Leader,David Holtzman,Chief Strategy Officer,Naoris
Speaker,Industry Leader,Jason Jiang,CBO,CertiK
Speaker,Industry Leader,Larry Pang,Head of BD,IoTeX
Speaker,Industry Leader,Jeff Rundlet,"VP, Institutional Solutions",Cryptio
Speaker,Industry Leader,Silvina Moschini,Co-Founder and Chief Strategy Officer,Unicoin
Speaker,Industry Leader,Jack McDonald,SVP - Stablecoins,Ripple
Speaker,Industry Leader,Jelena McWilliams,President of Corporate and External Affairs,Plaid
Speaker,Industry Leader,Dr. Darko Hajdukovic,Head of Digital Markets Infrastructure,London Stock Exchange Group / DMI Private Funds
Speaker,Industry Leader,Anthony Vassallo,"SVP, Crypto",Silicon Valley Bank
Speaker,Industry Leader,Ari Redbord,Global Head of Policy,TRM Labs
Speaker,Industry Leader,Norman Reed,Senior Advisor,Binance.US
Speaker,Industry Leader,Brandi Reynolds,Chief Compliance Officer,World Liberty Financial
Speaker,Industry Leader,Zach Witkoff,Co-Founder,World Liberty Financial
Speaker,Industry Leader,Josh Peschko,Global Head of Compliance and Regulatory Strategy,Talos
Speaker,Industry Leader,Joaquin Gubb,VP of Capital Markets Legal,Crypto.com
Speaker,Industry Leader,Dean Sovolos,Chief Legal Officer,B2C2
Speaker,Industry Leader,Hunter Sims,Associate Director of Alternative Finance,Cambridge Centre
Speaker,Industry Leader,Jamison Sites,Principal,KPMG LLP
Speaker,Industry Leader,Eric Vincent,"President, General Counsel and Partner",50T Funds
Speaker,Industry Leader,Sarah Ward,Chief Legal and Administrative Officer,Chainalysis
Speaker,Industry Leader,Sarah Wheeler,Director,Marfire
Speaker,Industry Leader,Zach Whiting,"Manager, Public Policy",Riot Platforms
Speaker,Industry Leader,Mari Tomunen,General Counsel,DoubleZero
Speaker,Industry Leader,Amanda Tuminelli,Executive Director & Chief Legal Officer,DeFi Education Fund
Speaker,Industry Leader,Ian Taylor,Board Advisor / COO,CRYPTO UK / HT DIGITAL
Speaker,Industry Leader,Lisa Cameron,Founder,UK-US Crypto Alliance
Speaker,Legal/Policy,Jake Chervinsky,CEO,Hyperliquid Policy Center
Speaker,Legal/Policy,Connor Brown,Managing Director,Bitcoin Policy Institute
Speaker,Legal/Policy,Kevin Batteh,Partner,Delta Strategy Group
Speaker,Legal/Policy,Elizabeth Boison,Partner,Chapman and Cutler
Speaker,Legal/Policy,Greg Collett,General Counsel,Osprey Funds
Speaker,Legal/Policy,Aaron Dimitri,General Counsel - Digital Assets,Flow Traders
Speaker,Legal/Policy,Samson A. Enzer,Partner and Co-Chair,CahillNXT
Speaker,Legal/Policy,Stephen Gardner,CLO and CCO,zerohash
Speaker,Legal/Policy,Gerald Gallagher,General Counsel,Sei Labs
Speaker,Legal/Policy,Chris Giancarlo,Former Chairman,Commodity Futures Trading Commission
Speaker,Legal/Policy,Teresa Goody Guillén,Partner,Baker Hostetler LLP
Speaker,Legal/Policy,William Mack,"Co-Chair, Financial Regulatory Group",Greenberg Traurig LLP
Speaker,Legal/Policy,Rob Massey,Partner / Global Tax Leader - Blockchain,Deloitte Tax LLP
Speaker,Legal/Policy,Ian McGinley,Partner,Sidley Austin
Speaker,Legal/Policy,Chris Montagano,Chief Legal Officer,Orca
Speaker,Legal/Policy,Lee Schneider,General Counsel,Ava Labs
Speaker,Legal/Policy,Ben Sherwin,General Counsel,Chainlink
Speaker,Legal/Policy,Sarah Shtylman,Partner,Perkins Coie
Speaker,Legal/Policy,Daniel Stabile,"Partner & Co-Chair, Digital Assets",Winston & Strawn LLP
Speaker,Legal/Policy,Sarah Aberg,CLO,Helium
Speaker,Legal/Policy,Caroline Pham,CLO and CAO,Moonpay
Speaker,Policy/Advocacy,Taylor Barr,Director of Government Affairs,The Digital Chamber
Speaker,Policy/Advocacy,Jean-Philippe Beaudet,"Policy Associate, National Security",The Digital Chamber
Speaker,Policy/Advocacy,Anastasia Dellaccio,Executive Director of State and Regional Affairs,The Digital Chamber
Speaker,Policy/Advocacy,Zunera Mazhar,VP of Policy and Government Affairs,The Digital Chamber
Speaker,Policy/Advocacy,Jonathan Schmalfeld,Policy Director,The Digital Chamber
Speaker,Policy/Advocacy,Jonathan Rufrano,Policy Director,The Digital Chamber
Speaker,Policy/Advocacy,Sonya Murphy,Senior Policy Associate,Digital Power Network
Speaker,Policy/Advocacy,Mina Nguyen,Senior Advisor,FalconX
Speaker,Policy/Advocacy,Adrian Wall,Senior Director of U.S. Policy,TRON DAO
Speaker,Policy/Advocacy,Elizabeth Duchek,Associate Director of Gov. Relations,Bitdeer
Speaker,Policy/Advocacy,Ali Tager,VP of Communications,National Cryptocurrency Association
Speaker,Policy/Advocacy,Mike Senich,Senior Advisor,Bitcoin Voter Project
Speaker,Policy/Advocacy,Dr. Chris Powell,Chief Scientist and Fellow,SAIC
Speaker,Media,Sander Lutz,White House Correspondent,Decrypt
Speaker,Media,Eleanor Mueller,White House Economic Policy Reporter,Semafor
Speaker,Media,Eleanor Terrett,Co-Founder and Host,Crypto In America Podcast
Speaker,Media,Sarah Wynn,Reporter,The Block
Sponsor,Presented By,Chiliz,,Chiliz
Sponsor,Platinum,Unicoin,,Unicoin
Sponsor,Diamond,TRON,,TRON
Sponsor,Gold,Binance,,Binance
Sponsor,Gold,Binance.US,,Binance.US
Sponsor,Gold,CleanSpark,,CleanSpark
